bytes	date
458	1-Jun-11
70	1-May-11
425	2-Apr-13
"5,029"	2-Jun-11
13	2-May-11
"2,227"	3-Apr-13
203	3-Jan-12
109	3-May-11
748	3-May-13
60	3-Oct-11
57	3-Oct-12
139	4-Aug-11
46	4-Dec-12
"1,279"	4-Nov-11
"1,570"	5-Apr-13
"1,009"	5-Dec-11
242	5-Dec-12
539	5-Jul-12
13	5-Jul-13
"2,125"	5-Jun-11
686	5-May-11
27	5-Nov-13
174	5-Oct-11
13	5-Sep-12
57	6-Aug-12
"4,879"	6-Jul-12
193	6-Jun-12
478	6-May-11
120	6-Oct-11
13	8-Jun-11
13	8-Mar-13
"8,459"	9-Apr-13
"1,321"	9-Aug-12
"1,241"	9-May-11
"4,108"	10-Apr-13
180	10-Jun-11
"5,055"	10-May-11
"1,808"	11-Apr-13
"5,583"	11-May-11
32	12-Jul-12
"3,444"	12-May-11
"4,586"	13-Aug-12
57	13-Feb-13
"1,389"	13-Jul-12
"2,972"	13-May-11
"1,614"	14-Mar-13
19	14-Sep-12
736	15-Mar-13
13	16-Jul-11
879	16-May-11
"1,137"	16-Nov-11
"4,713"	16-Nov-12
190	17-Aug-12
13	17-May-11
"2,661"	17-Sep-12
83	18-Jul-11
13	18-Jun-13
"6,201"	18-May-11
76	18-May-12
"1,093"	18-Sep-12
13	19-Apr-13
"2,240"	19-May-11
672	19-Nov-12
"2,125"	19-Sep-12
"8,557"	20-Aug-12
198	20-Mar-13
"7,275"	20-Sep-12
32	21-Feb-13
956	21-May-13
546	21-Sep-12
19	22-Apr-13
"3,143"	22-Oct-12
740	22-Sep-12
"1,556"	23-Apr-13
"1,279"	23-Aug-12
"1,891"	23-Jan-12
337	23-Mar-12
"5,466"	23-May-11
"1,805"	23-May-13
"2,228"	24-Apr-13
57	24-Feb-12
61	24-Jan-14
57	24-Jul-13
"1,878"	24-May-11
"3,433"	24-May-13
139	24-Oct-12
"1,803"	25-Jun-12
534	26-Feb-13
"8,642"	26-Jun-12
13	26-Jun-13
"4,086"	26-May-11
27	27-Feb-13
"6,523"	27-May-11
446	28-Feb-12
"7,309"	28-Jan-13
"5,296"	28-Jun-12
279	28-May-13
349	29-Nov-11
6	29-Sep-11
603	30-Jul-13
381	30-Nov-12
470	30-Sep-11
390	31-Aug-12
19	31-Mar-14
