bytes	date
2266	1-Apr-13
21	1-Aug-11
9847	1-Aug-12
14010	1-Jan-12
311	1-Jan-13
12570	1-Mar-12
92	1-Mar-13
338	1-Nov-11
217	2-Mar-13
5198	2-Sep-11
587	3-Aug-11
58	3-Feb-14
7298	3-Jul-12
983	3-Jun-13
1704	3-May-12
12059	3-Nov-11
172	3-Oct-12
3740	3-Sep-11
50	4-Aug-11
932	4-Dec-12
2289	4-Feb-13
10999	4-Mar-13
3936	4-May-12
290	4-Nov-11
3303	4-Sep-12
624	5-Aug-13
534	5-Dec-11
660	5-Feb-13
23	5-Jul-12
3125	5-Jul-13
64	5-Nov-11
28081	6-Aug-12
41596	6-Jul-12
5899	6-Jun-12
426	6-Mar-13
3317	6-May-12
213	6-Nov-12
142	7-Apr-12
10905	7-Aug-11
5	7-Dec-12
46	7-Feb-12
496	7-Nov-11
703	7-Nov-12
112	7-Oct-11
799	8-Apr-13
2122	8-Aug-11
21995	8-Dec-12
164	8-Feb-12
34	8-Feb-13
4790	8-Jan-13
4699	8-Jun-12
56	8-May-12
999	8-Nov-11
7584	8-Nov-12
13965	9-Aug-11
30	9-Dec-11
1315	9-Jun-12
633	9-Nov-11
23	9-Sep-12
190	10-Apr-12
14918	10-Aug-11
18	10-Dec-11
18	10-Jan-14
3610	10-Jun-12
18	10-May-12
3663	10-Sep-12
15916	11-Aug-11
144	11-Feb-12
14	11-Feb-13
12786	11-Jul-12
6964	11-Jun-12
14	11-Jun-13
79	11-Nov-12
531	12-Apr-14
6888	12-Aug-11
6384	12-Dec-11
4590	12-Jan-12
21877	12-Jul-12
898	12-Jun-12
4939	12-Nov-12
23	12-Sep-11
4688	12-Sep-12
2356	13-Aug-12
31415	13-Dec-11
13096	13-Jun-12
24	13-Mar-12
116	13-Nov-11
489	13-Oct-11
14	13-Sep-11
190	14-Apr-12
8476	14-Aug-11
2029	14-Aug-12
1394	14-Jan-12
1490	14-Jun-12
897	14-Jun-13
3005	14-May-12
3063	14-Oct-12
3085	14-Sep-11
4760	15-Apr-13
10313	15-Aug-11
20819	15-Dec-11
24580	15-Jun-12
251	15-Oct-11
8500	15-Sep-11
450	16-Apr-12
10529	16-Aug-11
3350	16-Dec-11
47	16-Feb-12
718	16-Jan-12
4967	16-Mar-12
667	16-Oct-11
132	16-Sep-13
115	17-Apr-13
8255	17-Aug-11
2927	17-Dec-11
23402	17-Jan-13
15890	17-Jul-12
1039	17-Mar-12
1916	17-Nov-11
23	17-Oct-11
11972	17-Sep-11
119	18-Apr-12
1492	18-Aug-11
27341	18-Aug-12
1665	18-Feb-13
1905	18-Jan-12
1951	18-Nov-12
1724	18-Sep-11
10471	18-Sep-12
1336	19-Aug-11
876	19-Feb-12
0	19-Mar-12
1133	19-Nov-11
2668	19-Nov-12
1385	19-Oct-11
474	19-Sep-11
4002	20-Jan-12
152	20-Jul-12
25	20-Jul-14
313	20-Mar-12
13884	20-May-12
149	20-Nov-11
444	20-Sep-11
195	21-Aug-11
11393	21-Dec-12
1248	21-Jan-12
1483	21-Jun-13
4632	21-Mar-12
4184	21-Nov-12
765	21-Sep-11
6010	22-Aug-11
7354	22-Dec-11
43480	22-Jan-12
587	22-Jan-13
404	22-Nov-11
154	22-Oct-11
2128	22-Oct-12
1052	22-Sep-11
82	23-Apr-12
2437	23-Aug-11
7414	23-Dec-11
611	23-Jan-13
5771	23-Jul-12
469	23-May-13
1762	23-Nov-12
813	23-Sep-11
5420	24-Apr-12
2672	24-Aug-11
1320	24-Feb-13
53	24-Jan-13
29	24-Jan-14
136	24-Jul-13
10475	24-Sep-11
1380	25-Apr-12
7225	25-Aug-11
17	25-Jan-13
546	25-Mar-13
11057	26-Apr-12
5	26-Aug-11
46	26-Feb-13
204	27-Feb-12
640	27-Feb-13
30	27-Jan-13
15087	27-Jun-12
13660	27-Nov-12
13466	28-Aug-12
614	28-Jan-13
2177	28-Jul-12
55	28-Jun-14
17	28-Nov-11
5671	29-Aug-11
90	29-May-13
118	29-Nov-11
11084	30-Aug-11
597	30-Jul-11
51	30-Mar-12
398	30-May-13
0	30-Nov-11
59	30-Oct-11
4424	31-Aug-11
1617	31-Dec-12
859	31-Jul-11
12874	31-Jul-12
2378	31-May-13
5322	31-Oct-12
